year,country,n_researchers_padded,inmigration,outmigration,netmigration,inmigration_rate,outmigration_rate,netmigration_rate
2003,AE,1525,150,93,57,0.09836065573770492,0.06098360655737705,0.037377049180327866
2004,AE,1747,143,114,29,0.08185460789925587,0.06525472238122496,0.01659988551803091
2005,AE,2007,183,102,81,0.09118086696562033,0.05082212257100149,0.04035874439461883
2006,AE,2314,197,151,46,0.08513396715643906,0.06525496974935177,0.019878997407087293
2007,AE,2582,214,147,67,0.08288148721920992,0.05693261037955073,0.025948876839659178
2008,AE,2971,251,198,53,0.0844833389431168,0.06664422753281724,0.017839111410299563
2009,AE,3479,279,212,67,0.08019545846507617,0.0609370508766887,0.01925840758838747
2010,AE,4225,355,225,130,0.08402366863905325,0.05325443786982249,0.03076923076923077
2011,AE,4947,382,242,140,0.07721851627248838,0.04891853648675965,0.028299979785728725
2012,AE,5752,517,297,220,0.08988178025034771,0.05163421418636996,0.03824756606397774
2013,AE,6720,522,360,162,0.07767857142857143,0.05357142857142857,0.024107142857142858
2014,AE,7558,648,505,143,0.0857369674517068,0.06681661815295052,0.018920349298756283
2015,AE,9070,823,500,323,0.09073869900771775,0.05512679162072767,0.03561190738699008
2016,AE,10847,851,618,233,0.07845487231492579,0.05697427860237854,0.02148059371254725
2017,AE,13518,1163,703,460,0.08603343689894954,0.05200473442816985,0.0340287024707797
2018,AE,16321,1387,839,548,0.08498253783469151,0.051406163838000125,0.03357637399669138
2019,AE,18757,1448,900,548,0.07719784613744202,0.047982086687636614,0.029215759449805406
2020,AE,21703,1613,1224,389,0.07432152237017924,0.05639773303229968,0.017923789337879557
2021,AE,24719,1595,1319,276,0.06452526396698896,0.053359763744488045,0.01116550022250091
2022,AE,29621,1822,1267,555,0.061510414908342054,0.0427737078424091,0.018736707065932952
2023,AE,35651,2339,1640,699,0.06560825783287987,0.046001514684020084,0.019606743148859778
2024,AE,30096,2805,1884,921,0.09320175438596491,0.06259968102073366,0.03060207336523126
2025,AE,21286,3723,2255,1468,0.174903692567885,0.10593817532650568,0.06896551724137931
1998,AF,46,0,0,0,0.0,0.0,0.0
1999,AF,57,1,0,1,0.017543859649122806,0.0,0.017543859649122806
2000,AF,83,2,0,2,0.024096385542168676,0.0,0.024096385542168676
2001,AF,81,1,1,0,0.012345679012345678,0.012345679012345678,0.0
2002,AF,114,2,0,2,0.017543859649122806,0.0,0.017543859649122806
2003,AF,126,5,1,4,0.03968253968253968,0.007936507936507936,0.031746031746031744
2004,AF,106,6,5,1,0.05660377358490566,0.04716981132075472,0.009433962264150943
2005,AF,86,7,2,5,0.08139534883720931,0.023255813953488372,0.05813953488372093
2006,AF,88,6,4,2,0.06818181818181818,0.045454545454545456,0.022727272727272728
2007,AF,103,2,8,-6,0.019417475728155338,0.07766990291262135,-0.05825242718446602
2008,AF,133,3,7,-4,0.022556390977443608,0.05263157894736842,-0.03007518796992481
2009,AF,189,16,6,10,0.08465608465608465,0.031746031746031744,0.05291005291005291
2010,AF,224,14,7,7,0.0625,0.03125,0.03125
