year,country,n_researchers,inmigration,outmigration,netmigration,inmigration_rate,outmigration_rate,netmigration_rate
1998,AE,448,0,0,0,0.0,0.0,0.0
1999,AE,352,39,23,16,0.11079545454545454,0.06534090909090909,0.045454545454545456
2000,AE,460,58,36,22,0.12608695652173912,0.0782608695652174,0.04782608695652174
2001,AE,502,87,45,42,0.17330677290836655,0.08964143426294821,0.08366533864541832
2002,AE,532,84,85,-1,0.15789473684210525,0.15977443609022557,-0.0018796992481203006
2003,AE,697,150,93,57,0.2152080344332855,0.133428981348637,0.08177905308464849
2004,AE,725,143,114,29,0.19724137931034483,0.15724137931034482,0.04
2005,AE,851,183,102,81,0.21504112808460635,0.11985898942420682,0.09518213866039953
2006,AE,1024,197,151,46,0.1923828125,0.1474609375,0.044921875
2007,AE,1060,214,147,67,0.2018867924528302,0.13867924528301886,0.06320754716981132
2008,AE,1265,251,198,53,0.1984189723320158,0.1565217391304348,0.04189723320158103
2009,AE,1400,279,212,67,0.1992857142857143,0.15142857142857144,0.047857142857142855
2010,AE,1722,355,225,130,0.20615563298490128,0.13066202090592335,0.07549361207897794
